,date,game_name,home,away,bookie,home_odds,draw_odds,away_odds,winner
153,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,,1.7,2.4,1.55,
154,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Betsensation,1.7,2.51,1.67,
155,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,bwin,1.55,2.25,1.37,
156,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Coolbet,1.75,2.4,1.6,
157,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Curebet,1.66,2.45,1.63,
158,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,GGBET,1.63,2.43,1.54,
159,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Lasbet,1.69,2.5,1.65,
160,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Marathonbet,1.67,2.48,1.58,
161,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Pinnacle,1.75,2.47,1.54,
162,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,Unibet,1.6,2.4,1.6,
163,"Today, 04 Dec  2021, 17:30",Yeovil - Stevenage,Yeovil,Stevenage,William Hill,1.75,2.3,1.45,
